,X-Dist,Y-Dist,Speed,Direction,RotSpeed,Collision_Y,Collision_N
1078,0.145816,0.881426,0.397343,-0.323837,0.874445,0,1
1079,0.49748,0.730844,0.955645,-0.584852,-0.767923,0,1
1080,-0.164734,0.200715,0.513389,-0.20587,0.814114,1,0
1081,-0.106207,0.461211,0.898734,0.480052,-0.764551,1,0
1082,-0.671404,0.173269,0.539395,-0.313196,-0.378815,0,1
1083,-0.175245,0.622959,0.489449,-0.771731,0.048252,0,1
1084,-0.288542,0.241618,0.777689,0.7459,-0.558759,1,0
1085,-0.098628,0.326573,0.293736,-0.151785,0.003203,1,0
1086,-0.615819,0.220545,0.061566,0.116046,0.485032,0,1
1087,-0.579053,0.297532,0.382316,-0.875632,-0.537024,0,1
1088,-0.627341,0.63206,0.723511,-0.573929,0.068633,0,1
1089,-0.057527,0.672245,0.636472,0.909486,-0.537142,1,0
1090,0.031672,0.559643,0.299203,-0.799241,0.454428,1,0
1091,-0.90647,0.384853,0.760696,-0.746932,0.594928,0,1
1092,0.158378,0.168511,0.136312,0.89511,-0.947222,0,1
1093,0.584628,0.316352,0.020712,0.602285,-0.488387,0,1
1094,-0.225288,0.225342,0.690206,0.390172,0.59437,0,1
1095,0.496336,0.42827,0.954132,-0.499434,0.226406,0,1
1096,-0.94079,0.138415,0.183862,0.276428,-0.551086,0,1
1097,-0.934355,0.045785,0.829145,0.097442,-0.042375,0,1
1098,0.933417,0.91513,0.409618,0.260876,-0.438412,0,1
1099,-0.086744,0.182767,0.028211,0.790158,0.458483,1,0
1100,-0.048077,0.55521,0.120458,-0.123389,0.740409,1,0
1101,0.990994,0.138489,0.181189,0.020993,-0.692367,0,1
1102,0.366317,0.196421,0.674378,0.720495,0.449037,1,0
1103,0.003947,0.588577,0.538438,0.601154,-0.381913,0,1
1104,-0.899978,0.371606,0.898179,-0.22071,0.199123,1,0
1105,0.021546,0.112639,0.918049,-0.906995,-0.797166,1,0
1106,0.96949,0.292317,0.228869,-0.753018,-0.091186,0,1
1107,0.958313,0.749567,0.752347,-0.356894,-0.745723,0,1
1108,-0.221657,0.119957,0.042964,-0.09895,-0.058518,0,1
1109,-0.03665,0.479899,0.914902,0.784529,-0.907518,1,0
1110,-0.175631,0.760903,0.458632,-0.908461,-0.257932,0,1
1111,-0.200381,0.649097,0.995848,0.718589,-0.547236,1,0
1112,0.131147,0.369715,0.395371,0.063848,-0.859443,1,0
1113,-0.708883,0.677863,0.182528,0.329314,0.667281,0,1
1114,0.048331,0.006824,0.785569,-0.711559,-0.422659,1,0
1115,-0.537276,0.706551,0.854328,-0.523799,0.8912,0,1
1116,0.076957,0.973209,0.022688,0.877898,0.307795,1,0
1117,-0.552109,0.475917,0.714879,-0.873035,-0.521631,0,1
1118,0.463138,0.746764,0.174045,0.450015,-0.925314,0,1
1119,0.035227,0.757365,0.822754,0.386678,-0.968153,1,0
1120,0.858854,0.930904,0.278071,-0.542477,-0.835114,0,1
1121,-0.075795,0.592502,0.242694,-0.45875,0.107719,1,0
1122,-0.907651,0.614901,0.64858,0.015653,-0.606468,0,1
1123,0.515154,0.137213,0.914917,-0.34176,-0.223373,0,1
1124,0.969792,0.24393,0.432611,0.758686,-0.986841,0,1
1125,0.573548,0.903287,0.774795,-0.073675,-0.48158,0,1
1126,-0.131497,0.66239,0.812607,0.856277,-0.616442,1,0
1127,-0.509721,0.064889,0.971626,0.409819,-0.341482,1,0
1128,0.154007,0.580915,0.884877,-0.135056,-0.370202,0,1
1129,-0.67047,0.747589,0.312436,-0.339753,-0.918519,0,1
1130,-0.000582,0.891691,0.33201,-0.047267,0.76255,1,0
1131,0.858504,0.446672,0.606006,-0.572599,0.279913,0,1
1132,0.852132,0.537674,0.782472,-0.837028,-0.140662,1,0
1133,-0.759863,0.654848,0.359513,0.48925,-0.993646,0,1
1134,0.639805,0.071991,0.162396,-0.949779,-0.135084,0,1
1135,0.503228,0.308902,0.551899,0.816859,0.940137,0,1
1136,0.867054,0.566185,0.696889,-0.083706,-0.34186,0,1
1137,-0.062758,0.190693,0.555622,-0.298062,-0.030129,1,0
1138,0.239551,0.281654,0.639472,0.960223,0.284912,1,0
1139,0.307076,0.613839,0.906297,0.60171,0.169379,0,1
1140,0.5812,0.903587,0.876971,0.676273,0.323613,1,0
1141,0.07289,0.172938,0.251943,-0.723325,0.143729,1,0
1142,-0.865385,0.76416,0.441253,-0.342172,-0.50528,0,1
1143,-0.009102,0.087024,0.816504,0.579796,-0.152994,1,0
1144,-0.203427,0.339621,0.532372,0.985318,-0.467737,1,0
1145,-0.110592,0.058476,0.775896,0.198937,0.121443,1,0
1146,-0.063987,0.167194,0.207578,0.942332,-0.875257,1,0
1147,-0.246108,0.814945,0.401816,-0.182824,0.525334,0,1
1148,-0.427448,0.137424,0.483791,-0.265138,0.361261,0,1
1149,0.578142,0.957005,0.686666,0.319922,0.239972,0,1
1150,0.036601,0.977912,0.178306,-0.686374,0.884663,1,0
1151,-0.669277,0.04262,0.511516,-0.062408,0.863181,0,1
1152,0.900717,0.021952,0.491621,0.118329,-0.189642,0,1
1153,-0.133005,0.984035,0.965319,-0.522084,0.934388,1,0
1154,0.194351,0.097722,0.098431,-0.477814,0.606899,0,1
1155,0.45709,0.130765,0.352872,-0.360313,0.552085,0,1
1156,-0.207016,0.309576,0.819564,-0.885494,-0.482122,1,0
1157,-0.757932,0.357978,0.248257,0.492418,0.925767,0,1
1158,0.885267,0.882769,0.345211,0.117205,-0.877782,0,1
1159,0.10156,0.46154,0.33135,-0.102414,-0.840502,1,0
1160,-0.207577,0.404608,0.766415,0.951579,-0.655578,1,0
1161,0.933419,0.220091,0.669401,-0.594611,0.733303,0,1
1162,-0.237497,0.7186,0.661334,0.258967,0.615002,0,1
1163,0.264904,0.307512,0.341581,0.604812,0.341249,1,0
1164,0.110121,0.039448,0.153745,0.781074,0.190917,1,0
1165,-0.496292,0.189054,0.184842,-0.351235,-0.623941,0,1
1166,-0.778867,0.672434,0.152509,0.239417,-0.525161,0,1
1167,0.79995,0.725884,0.86143,0.971437,0.071139,1,0
1168,0.104292,0.851526,0.088182,0.918125,0.493814,1,0
1169,0.064022,0.038657,0.002025,0.676968,-0.302479,1,0
1170,0.03475,0.509248,0.22938,-0.035863,0.768772,1,0
1171,0.431112,0.378075,0.471836,-0.943526,-0.155159,1,0
1172,0.015527,0.414077,0.507736,0.547522,0.107606,0,1
1173,-0.889954,0.814641,0.294544,-0.522163,0.584642,0,1
1174,-0.83695,0.067872,0.519717,0.943748,-0.286968,0,1
1175,0.876275,0.330885,0.863503,-0.180617,-0.974898,0,1
1176,0.164551,0.48866,0.587713,-0.796272,0.130822,1,0
1177,-0.237458,0.505226,0.735332,-0.21051,-0.120943,1,0
1178,-0.178869,0.21799,0.878657,0.005246,-0.358915,1,0
1179,0.155944,0.979181,0.592208,0.727832,0.721164,1,0
1180,0.094704,0.382494,0.790956,0.200584,0.941689,1,0
1181,-0.13226,0.79783,0.275092,-0.290593,0.307836,0,1
1182,-0.105001,0.047511,0.266271,-0.123721,0.971359,1,0
1183,0.028738,0.484942,0.365291,-0.746716,0.235329,1,0
1184,0.034256,0.976942,0.422475,0.58814,-0.695048,0,1
1185,-0.049609,0.558643,0.074571,0.576628,-0.772899,1,0
1186,-0.510748,0.692842,0.336415,-0.896845,-0.98173,0,1
1187,0.626358,0.751747,0.441723,0.316267,-0.156314,0,1
1188,-0.233502,0.335206,0.753799,0.138041,-0.761358,1,0
1189,-0.930361,0.225788,0.064357,-0.849886,0.309798,0,1
1190,-0.019143,0.021768,0.75153,0.565084,0.78229,1,0
1191,0.664236,0.620269,0.057375,0.011721,-0.014253,0,1
1192,-0.065047,0.561902,0.649989,0.35593,0.780534,1,0
1193,0.058952,0.014529,0.090154,0.716396,0.357568,1,0
1194,0.88713,0.552146,0.750927,-0.836234,0.83183,0,1
1195,0.06409,0.902444,0.547436,0.310456,-0.861305,1,0
1196,0.180698,0.054705,0.572852,0.979587,0.345564,1,0
1197,0.877337,0.800802,0.580839,0.173011,-0.090414,0,1
1198,-0.431533,0.455241,0.584678,-0.314337,0.243275,1,0
1199,-0.123379,0.032429,0.562951,0.074486,0.339555,1,0
1200,0.037629,0.667412,0.379489,0.579075,0.206867,0,1
1201,-0.014597,0.587136,0.552549,-0.044239,0.721146,1,0
1202,-0.171441,0.538106,0.798882,0.947208,-0.345637,0,1
1203,-0.738975,0.075367,0.061471,0.821135,0.194187,0,1
1204,0.202648,0.725548,0.501334,-0.164441,-0.889807,0,1
1205,-0.150901,0.266229,0.826812,0.059675,-0.519877,1,0
1206,-0.060998,0.650027,0.314643,0.083618,0.778873,1,0
1207,-0.782464,0.889318,0.302967,-0.459057,0.247903,0,1
1208,-0.458279,0.406381,0.615398,-0.18649,-0.073246,0,1
1209,-0.030366,0.232185,0.838517,-0.140201,-0.47584,1,0
1210,0.287722,0.504523,0.554383,0.61078,0.395227,1,0
1211,0.080641,0.694895,0.211396,0.050006,0.29524,1,0
1212,-0.620704,0.518219,0.817032,-0.165113,-0.393175,0,1
1213,-0.105072,0.451967,0.549047,-0.082022,0.977187,1,0
1214,-0.552434,0.466849,0.297261,-0.301146,-0.625543,0,1
1215,-0.783445,0.232034,0.895279,0.131952,0.099249,0,1
1216,0.195571,0.681341,0.764801,0.013253,0.914186,1,0
1217,-0.031021,0.023446,0.682148,0.504024,-0.472792,1,0
1218,-0.031889,0.481809,0.706915,0.058422,-0.734215,1,0
1219,-0.153996,0.287183,0.430799,0.246921,-0.457486,1,0
1220,0.024874,0.079189,0.442024,-0.127869,0.303641,1,0
1221,0.148612,0.414722,0.671646,-0.807509,0.358158,1,0
1222,0.379364,0.555066,0.563853,0.472991,0.308525,1,0
1223,0.156825,0.977502,0.43041,0.910086,0.538331,1,0
1224,-0.226265,0.166841,0.645015,-0.872562,-0.028609,0,1
1225,0.140041,0.515596,0.454175,0.980354,0.474614,1,0
1226,-0.02829,0.35376,0.778446,-0.278727,-0.845894,1,0
1227,0.051254,0.906647,0.117056,-0.282905,-0.63172,1,0
1228,0.100201,0.714136,0.269486,0.342127,-0.525593,1,0
1229,-0.11607,0.912658,0.656255,0.001372,-0.573609,1,0
1230,0.125383,0.183775,0.505904,0.163401,-0.591828,0,1
1231,0.036746,0.865857,0.050035,-0.789253,-0.91284,1,0
1232,-0.189649,0.391976,0.420953,0.046273,-0.513357,1,0
1233,-0.377097,0.375939,0.673403,0.145606,-0.162457,1,0
1234,-0.188374,0.640459,0.947419,0.980327,-0.786195,1,0
1235,0.049133,0.707635,0.957355,-0.395358,-0.93419,1,0
1236,-0.032277,0.855204,0.384598,-0.946168,-0.5009,1,0
1237,0.073362,0.585609,0.954671,-0.760955,-0.831034,1,0
1238,0.648418,0.218632,0.396235,0.272104,-0.725346,0,1
1239,0.088254,0.081447,0.832712,-0.48009,0.573886,1,0
1240,0.176731,0.91179,0.750927,0.154136,0.648258,1,0
1241,-0.047152,0.665933,0.350229,-0.885048,-0.894508,1,0
1242,-0.741359,0.583319,0.64123,-0.827438,-0.492473,0,1
1243,-0.004534,0.683753,0.130309,-0.061686,-0.459981,1,0
1244,-0.927064,0.855893,0.539129,-0.12735,-0.449749,0,1
1245,0.949942,0.33076,0.893169,0.699649,-0.487012,0,1
1246,0.501809,0.453461,0.886004,-0.880481,0.791076,0,1
1247,0.702198,0.957258,0.434527,0.467334,-0.331306,0,1
1248,-0.011192,0.260883,0.074325,0.600802,-0.514302,1,0
1249,-0.040747,0.697802,0.13339,-0.762571,0.370668,1,0
1250,0.920559,0.668476,0.563622,-0.954227,-0.06062,1,0
1251,0.034831,0.871875,0.611044,0.412615,0.847243,1,0
1252,-0.005026,0.75524,0.737762,-0.087079,-0.927758,1,0
1253,-0.163969,0.362203,0.67229,-0.829784,0.949666,1,0
1254,-0.984397,0.20046,0.022132,-0.459198,0.081605,0,1
1255,0.061171,0.723569,0.017026,0.167958,0.83172,1,0
1256,-0.026514,0.650405,0.007609,-0.459761,-0.954094,1,0
1257,0.7309,0.074048,0.931443,0.347446,-0.302652,0,1
1258,-0.166542,0.663864,0.887361,-0.871704,-0.446482,1,0
1259,0.014004,0.116952,0.430063,-0.136122,0.169662,1,0
1260,-0.394694,0.555552,0.770619,0.880756,-0.612192,0,1
1261,-0.471477,0.646746,0.473529,0.354397,-0.28737,1,0
1262,0.530924,0.911496,0.608773,0.898524,-0.649351,0,1
1263,-0.131347,0.147518,0.789529,-0.313951,-0.074356,1,0
1264,-0.022906,0.147693,0.239943,-0.077565,-0.70108,1,0
1265,0.243025,0.75905,0.574631,0.587827,0.894836,1,0
1266,-0.269565,0.019064,0.403766,-0.428265,0.957844,0,1
1267,-0.977732,0.381227,0.04389,0.582758,-0.776203,0,1
1268,0.2841,0.906231,0.980073,-0.443124,0.375843,0,1
1269,-0.039805,0.142713,0.346355,-0.877811,-0.071367,0,1
1270,-0.139001,0.769957,0.265616,0.698815,-0.954399,1,0
1271,-0.423709,0.671088,0.061705,-0.215064,0.043206,0,1
1272,0.47612,0.765997,0.863957,-0.944469,0.393991,0,1
1273,0.051909,0.372322,0.030715,-0.80105,-0.639898,1,0
1274,-0.266647,0.341552,0.369371,0.475238,0.805427,0,1
1275,0.590565,0.822274,0.37776,0.744986,0.085382,1,0
1276,-0.672022,0.216931,0.928407,-0.972351,-0.770919,0,1
1277,-0.349706,0.342573,0.180926,-0.201033,-0.921997,0,1
1278,-0.066519,0.957395,0.617824,0.325311,-0.475431,1,0
1279,0.453863,0.842841,0.369954,0.655628,0.262383,0,1
1280,-0.084844,0.536925,0.19271,0.569103,-0.255614,1,0
1281,0.597728,0.191318,0.155912,0.325118,0.821058,0,1
1282,-0.146999,0.643682,0.577968,-0.043438,-0.888447,1,0
1283,-0.010214,0.507842,0.527211,0.096922,-0.734275,1,0
1284,0.474979,0.940136,0.858281,-0.330515,0.793368,0,1
1285,-0.263933,0.226751,0.857487,-0.471098,0.530251,1,0
1286,0.032019,0.665667,0.648036,-0.273668,0.893976,1,0
1287,-0.233383,0.850651,0.644762,0.79518,-0.637461,1,0
1288,0.037793,0.383013,0.897798,0.253406,-0.970803,1,0
1289,0.263536,0.50343,0.90955,-0.951482,-0.743172,1,0
1290,-0.907625,0.103684,0.350021,0.802809,-0.139993,0,1
1291,0.05264,0.996288,0.49076,0.342669,0.391981,1,0
1292,0.03266,0.61913,0.643528,0.620526,0.067111,0,1
1293,-0.95169,0.927578,0.853822,0.882959,0.96426,0,1
1294,-0.317307,0.253774,0.69995,0.498261,-0.788825,1,0
1295,-0.40975,0.019138,0.135834,-0.52922,-0.866441,0,1
1296,0.542675,0.133807,0.050587,-0.159239,-0.043567,0,1
1297,0.342132,0.333078,0.802209,-0.821038,-0.22729,1,0
1298,0.045847,0.028495,0.198242,0.120396,-0.492071,1,0
1299,0.233569,0.094223,0.700382,0.304932,0.14045,0,1
1300,0.015644,0.763336,0.078056,0.258075,0.15427,1,0
1301,-0.184646,0.876326,0.328459,-0.868499,0.359652,1,0
1302,0.095908,0.87152,0.408184,-0.285191,-0.209378,1,0
1303,-0.077713,0.215384,0.005015,0.774375,0.458009,1,0
1304,-0.457127,0.399287,0.206615,-0.845207,-0.189204,0,1
1305,0.109959,0.878201,0.045802,0.466674,-0.842123,0,1
1306,-0.002317,0.336174,0.781565,-0.118104,0.136526,0,1
1307,-0.039771,0.628478,0.536758,0.790798,-0.946965,1,0
1308,-0.744954,0.478588,0.100255,0.813919,-0.379253,0,1
1309,-0.745429,0.414657,0.618758,-0.819909,-0.853867,0,1
1310,0.178676,0.894428,0.585782,-0.293285,0.989877,0,1
1311,0.160512,0.215852,0.045198,-0.377623,0.816394,0,1
1312,0.402803,0.75719,0.153446,-0.146817,-0.044888,0,1
1313,-0.606712,0.552375,0.983434,-0.283238,0.187029,1,0
1314,-0.114167,0.399108,0.554458,-0.973512,0.660681,0,1
1315,-0.132152,0.563845,0.741981,0.921313,-0.962801,1,0
1316,0.146607,0.922319,0.651406,-0.762083,-0.647359,0,1
1317,-0.342155,0.426792,0.452675,-0.796005,-0.208254,0,1
1318,0.293935,0.280999,0.172653,0.166259,-0.573922,0,1
1319,0.813524,0.828279,0.230652,-0.947703,0.977845,0,1
1320,-0.281779,0.560518,0.241371,-0.710283,0.678574,0,1
1321,-0.002496,0.796619,0.191479,-0.441971,0.693921,1,0
1322,0.000319,0.179886,0.138782,-0.216701,0.153367,1,0
1323,-0.226041,0.636192,0.93708,-0.614669,0.915893,1,0
1324,-0.381376,0.874888,0.822631,0.52567,0.880512,0,1
1325,-0.068085,0.042549,0.20991,0.29417,0.957707,1,0
1326,0.417345,0.20052,0.683476,0.950943,-0.440804,0,1
1327,0.123586,0.833486,0.810363,0.810267,0.897355,1,0
1328,0.557035,0.370064,0.196787,0.103641,-0.82609,0,1
1329,-0.049746,0.656501,0.663398,-0.728446,0.237829,0,1
1330,0.162305,0.401647,0.272275,-0.892311,0.085527,1,0
1331,0.613479,0.596666,0.540574,0.669603,0.225708,1,0
1332,0.099154,0.661367,0.113378,-0.895089,0.756531,1,0
1333,0.027627,0.035478,0.851872,0.225038,0.053658,1,0
1334,0.250034,0.827654,0.11959,0.298469,-0.852573,0,1
1335,0.006686,0.522175,0.505557,0.602571,-0.102828,0,1
1336,0.226436,0.849424,0.610485,-0.571286,-0.140177,1,0
1337,0.279204,0.848835,0.337971,-0.791588,-0.49176,0,1
1338,-0.271765,0.440804,0.669201,0.687356,-0.476151,1,0
1339,0.723849,0.190535,0.23041,-0.447519,-0.275922,0,1
1340,-0.738519,0.318274,0.782606,-0.085516,0.101619,1,0
1341,-0.105884,0.31529,0.259567,0.482176,-0.936305,1,0
1342,-0.610959,0.504455,0.337385,0.214525,-0.086498,0,1
1343,0.188721,0.835178,0.453207,0.524478,0.658347,1,0
1344,0.321458,0.160028,0.475796,0.390963,0.128042,1,0
