,X-Dist,Y-Dist,Speed,Direction,RotSpeed,Collision_Y,Collision_N
2623,-0.667286,0.234341,0.048286,0.740994,0.219596,0,1
2624,0.568217,0.052428,0.001099,-0.573099,0.996669,0,1
2625,0.138204,0.351799,0.87762,-0.757289,0.521192,1,0
2626,-0.038722,0.901485,0.784037,0.668157,0.865151,1,0
2627,-0.307282,0.699986,0.501966,0.102046,-0.205412,1,0
2628,0.829987,0.303756,0.911141,-0.292142,-0.049407,0,1
2629,-0.143186,0.618446,0.508876,-0.687916,0.388716,1,0
2630,-0.518116,0.600506,0.319348,-0.925749,0.75397,0,1
2631,0.466546,0.699023,0.978559,0.558317,0.680509,0,1
2632,-0.290568,0.480468,0.758583,-0.153766,0.008637,1,0
2633,0.813022,0.367898,0.460885,-0.764991,0.325127,0,1
2634,-0.136441,0.300776,0.924094,-0.05822,-0.863934,1,0
2635,0.061138,0.098911,0.314635,-0.796802,0.782045,1,0
2636,0.078533,0.45325,0.468789,-0.37888,-0.75653,1,0
2637,-0.841894,0.416348,0.32076,-0.065273,-0.732714,0,1
2638,-0.009686,0.202763,0.018415,8e-06,-0.732477,1,0
2639,-0.039771,0.678965,0.456652,0.373475,-0.559872,1,0
2640,-0.706418,0.833987,0.968726,-0.100765,-0.056875,1,0
2641,0.390243,0.469391,0.851148,0.100254,0.372634,1,0
2642,0.065149,0.38979,0.562083,0.911125,0.875288,1,0
2643,-0.734331,0.394903,0.715682,-0.197435,-0.628333,0,1
2644,0.333113,0.348792,0.483803,0.347835,0.49061,1,0
2645,0.072719,0.284258,0.49549,-0.586549,-0.609471,1,0
2646,-0.16497,0.620094,0.922306,0.560006,-0.609272,1,0
2647,0.077572,0.553674,0.785391,0.297962,-0.680257,1,0
2648,-0.416658,0.827724,0.824122,-0.527138,-0.359283,0,1
2649,-0.05453,0.86583,0.760934,0.089019,-0.556316,1,0
2650,-0.136626,0.165356,0.589777,-0.490734,0.731869,1,0
2651,0.125977,0.221157,0.7406,-0.513358,-0.252025,1,0
2652,0.572866,0.170529,0.500972,0.238744,0.042177,0,1
2653,0.062268,0.448846,0.905299,0.277911,-0.766901,1,0
2654,0.112568,0.484765,0.332307,0.31842,0.400556,1,0
2655,0.038021,0.552911,0.533731,-0.121721,0.302085,1,0
2656,0.284827,0.088213,0.654872,0.417413,0.298876,1,0
2657,-0.158596,0.123556,0.014285,-0.414878,-0.033938,0,1
2658,-0.043494,0.264258,0.562209,-0.82656,0.712193,1,0
2659,-0.145089,0.756747,0.475212,0.499803,-0.528202,1,0
2660,-0.009823,0.235032,0.532611,-0.256116,0.494688,1,0
2661,0.967517,0.865879,0.836183,0.617806,-0.927206,0,1
2662,0.312336,0.548645,0.210709,-0.766925,-0.342901,0,1
2663,0.075452,0.759991,0.363974,-0.195856,-0.238891,1,0
2664,-0.037113,0.919087,0.141866,0.779406,0.932031,1,0
